rank;priority;title;category;hypothesis;addressable_ni_t;addressable_cu_t;kpi_delta_ni_t_min;kpi_delta_ni_t_max;kpi_delta_cu_t_min;kpi_delta_cu_t_max;feasibility_1_5;novelty_1_5;risk_1_5;status;streams;sources
1;85.4;Донастройка скорости вращения классификаторов;Классификация;Если внедрить «донастройка скорости вращения классификаторов», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (4740 т/период).;3063.7;1676.4;459.6;919.1;251.5;502.9;5;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
2;79.4;Контроль гранулометрии руды после конусных дробилок;Дробление;Если внедрить «контроль гранулометрии руды после конусных дробилок», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (4740 т/период).;3063.7;1676.4;153.2;459.6;83.8;251.5;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
3;79.2;Повышение целевой плотности пульпы на входе в основную флотацию;Флотация;Если внедрить «повышение целевой плотности пульпы на входе в основную флотацию», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (4454 т/период).;2711.4;1742.2;271.1;677.9;174.2;435.6;5;2;2;catalog;Хвосты породные;"Абрамов А.А. «Флотационные методы обогащения», гл. о флотации шламов; Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
4;78.8;Автоматизация подачи воды в шаровые мельницы второго этапа измельчения;Измельчение;Если внедрить «автоматизация подачи воды в шаровые мельницы второго этапа измельчения», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (4667 т/период).;3005.0;1661.8;300.5;751.2;166.2;415.5;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
5;74.4;Контроль гранулометрии руды питающей 6м мельницы;Дробление;Если внедрить «контроль гранулометрии руды питающей 6м мельницы», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (4740 т/период).;3063.7;1676.4;153.2;459.6;83.8;251.5;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
6;74.4;Опробование эффективности гидроциклонов;Классификация;Если внедрить «опробование эффективности гидроциклонов», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (4740 т/период).;3063.7;1676.4;459.6;919.1;251.5;502.9;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
7;71.8;На 6м мельницах опробовать переход на мелящие шары 5-го класса повышенной износостойкости;Измельчение;Если внедрить «на 6м мельницах опробовать переход на мелящие шары 5-го класса повышенной износостойкости», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (4667 т/период).;3005.0;1661.8;300.5;751.2;166.2;415.5;4;3;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
8;68.1;Добавление реагента Finfix 300 в контактные чаны перед основной флотацией;Реагентный режим;Если внедрить «добавление реагента finfix 300 в контактные чаны перед основной флотацией», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (3762 т/период).;2409.9;1352.5;120.5;361.5;67.6;202.9;4;4;3;catalog;Хвосты породные;"Абрамов А.А. «Флотационные методы обогащения», гл. о флотации шламов; Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»)"
9;68.0;Классификация хвостов и возврат в голову процесса;Переработка хвостов;Если внедрить «классификация хвостов и возврат в голову процесса», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (5358 т/период).;3306.5;2051.5;496.0;991.9;307.7;615.4;2;4;3;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
10;65.4;Замена песковых насадок на гидроциклонах с уменьшением диаметра с 12 на 8;Классификация;Если внедрить «замена песковых насадок на гидроциклонах с уменьшением диаметра с 12 на 8», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (4740 т/период).;3063.7;1676.4;459.6;919.1;251.5;502.9;4;2;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 1 (КГМК); Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
11;64.8;Переход на 100% загрузку мелящих шаров диаметром 120мм;Измельчение;Если внедрить «переход на 100% загрузку мелящих шаров диаметром 120мм», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (4667 т/период).;3005.0;1661.8;300.5;751.2;166.2;415.5;4;2;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
12;64.2;Добавление промежуточных контактных чанов для увеличения времени агитации перед операцией контрольной флотации;Флотация;Если внедрить «добавление промежуточных контактных чанов для увеличения времени агитации перед операцией контрольной флотации», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (4454 т/период).;2711.4;1742.2;271.1;677.9;174.2;435.6;3;3;2;catalog;Хвосты породные;"Абрамов А.А. «Флотационные методы обогащения», гл. о флотации шламов; Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
