rank;priority;title;category;hypothesis;addressable_ni_t;addressable_cu_t;kpi_delta_ni_t_min;kpi_delta_ni_t_max;kpi_delta_cu_t_min;kpi_delta_cu_t_max;feasibility_1_5;novelty_1_5;risk_1_5;status;streams;sources
1;90.0;Донастройка скорости вращения классификаторов;Классификация;Если внедрить «донастройка скорости вращения классификаторов», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (2324 т/период).;1481.4;842.3;222.2;444.4;126.3;252.7;5;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
2;84.0;Контроль гранулометрии руды после конусных дробилок;Дробление;Если внедрить «контроль гранулометрии руды после конусных дробилок», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (2324 т/период).;1481.4;842.3;74.1;222.2;42.1;126.3;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
3;80.4;Автоматизация подачи воды в шаровые мельницы второго этапа измельчения;Измельчение;Если внедрить «автоматизация подачи воды в шаровые мельницы второго этапа измельчения», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (2117 т/период).;1274.4;842.3;127.4;318.6;84.2;210.6;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
4;79.0;Контроль гранулометрии руды питающей 6м мельницы;Дробление;Если внедрить «контроль гранулометрии руды питающей 6м мельницы», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (2324 т/период).;1481.4;842.3;74.1;222.2;42.1;126.3;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
5;79.0;Опробование эффективности гидроциклонов;Классификация;Если внедрить «опробование эффективности гидроциклонов», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (2324 т/период).;1481.4;842.3;222.2;444.4;126.3;252.7;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
6;73.4;На 6м мельницах опробовать переход на мелящие шары 5-го класса повышенной износостойкости;Измельчение;Если внедрить «на 6м мельницах опробовать переход на мелящие шары 5-го класса повышенной износостойкости», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (2117 т/период).;1274.4;842.3;127.4;318.6;84.2;210.6;4;3;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
7;70.0;Замена песковых насадок на гидроциклонах с уменьшением диаметра с 12 на 8;Классификация;Если внедрить «замена песковых насадок на гидроциклонах с уменьшением диаметра с 12 на 8», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (2324 т/период).;1481.4;842.3;222.2;444.4;126.3;252.7;4;2;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 1 (КГМК); Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
8;66.8;Классификация хвостов и возврат в голову процесса;Переработка хвостов;Если внедрить «классификация хвостов и возврат в голову процесса», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (2254 т/период).;1347.0;906.9;202.1;404.1;136.0;272.1;2;4;3;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
9;66.4;Переход на 100% загрузку мелящих шаров диаметром 120мм;Измельчение;Если внедрить «переход на 100% загрузку мелящих шаров диаметром 120мм», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (2117 т/период).;1274.4;842.3;127.4;318.6;84.2;210.6;4;2;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
10;66.4;Повышение целевой плотности пульпы на входе в основную флотацию;Флотация;Если внедрить «повышение целевой плотности пульпы на входе в основную флотацию», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (1182 т/период).;909.5;272.3;91.0;227.4;27.2;68.1;5;2;2;catalog;Хвосты породные;"Абрамов А.А. «Флотационные методы обогащения», гл. о флотации шламов; Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
