rank;priority;title;category;hypothesis;addressable_ni_t;addressable_cu_t;kpi_delta_ni_t_min;kpi_delta_ni_t_max;kpi_delta_cu_t_min;kpi_delta_cu_t_max;feasibility_1_5;novelty_1_5;risk_1_5;status;streams;sources
1;90.0;Донастройка скорости вращения классификаторов;Классификация;Если внедрить «донастройка скорости вращения классификаторов», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (3634 т/период).;2379.0;1254.6;356.8;713.7;188.2;376.4;5;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
2;84.0;Контроль гранулометрии руды после конусных дробилок;Дробление;Если внедрить «контроль гранулометрии руды после конусных дробилок», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (3634 т/период).;2379.0;1254.6;119.0;356.8;62.7;188.2;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
3;79.0;Контроль гранулометрии руды питающей 6м мельницы;Дробление;Если внедрить «контроль гранулометрии руды питающей 6м мельницы», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (3634 т/период).;2379.0;1254.6;119.0;356.8;62.7;188.2;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
4;79.0;Опробование эффективности гидроциклонов;Классификация;Если внедрить «опробование эффективности гидроциклонов», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (3634 т/период).;2379.0;1254.6;356.8;713.7;188.2;376.4;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
5;76.0;Автоматизация подачи воды в шаровые мельницы второго этапа измельчения;Измельчение;Если внедрить «автоматизация подачи воды в шаровые мельницы второго этапа измельчения», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (2906 т/период).;1793.8;1112.2;179.4;448.4;111.2;278.1;4;2;1;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
6;70.0;Замена песковых насадок на гидроциклонах с уменьшением диаметра с 12 на 8;Классификация;Если внедрить «замена песковых насадок на гидроциклонах с уменьшением диаметра с 12 на 8», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (3634 т/период).;2379.0;1254.6;356.8;713.7;188.2;376.4;4;2;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 1 (КГМК); Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
7;69.6;Повышение целевой плотности пульпы на входе в основную флотацию;Флотация;Если внедрить «повышение целевой плотности пульпы на входе в основную флотацию», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (2142 т/период).;1538.6;603.1;153.9;384.6;60.3;150.8;5;2;2;catalog;Хвосты породные;"Абрамов А.А. «Флотационные методы обогащения», гл. о флотации шламов; Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
8;69.0;На 6м мельницах опробовать переход на мелящие шары 5-го класса повышенной износостойкости;Измельчение;Если внедрить «на 6м мельницах опробовать переход на мелящие шары 5-го класса повышенной износостойкости», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 10–25% от адресуемого металла (2906 т/период).;1793.8;1112.2;179.4;448.4;111.2;278.1;4;3;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 3 (НОФ мед); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов)"
9;64.0;Автоматическое регулирование зазора щели конусных дробилок;Дробление;Если внедрить «автоматическое регулирование зазора щели конусных дробилок», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 5–15% от адресуемого металла (3634 т/период).;2379.0;1254.6;119.0;356.8;62.7;188.2;3;2;2;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 2 (НОФ вкр); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; регламенты фабрик"
10;63.2;Классификация хвостов и возврат в голову процесса;Переработка хвостов;Если внедрить «классификация хвостов и возврат в голову процесса», то потери Элемент 28 (Ni)/Элемент 29 (Cu) с хвостами снизятся на 15–30% от адресуемого металла (3199 т/период).;2079.4;1119.5;311.9;623.8;167.9;335.8;2;4;3;catalog;Хвосты породные;"Мозговой штурм экспертов, Пример 4 (ТОФ); Отчёт института (xlsx, лист «Итог»); Справка «Как читать отчёт»; Абрамов А.А. «Флотационные методы обогащения» (раскрытие минералов); Справка «Как читать отчёт»; практика НОФ (Пример 3)"
